GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gs-maven,default,PermissionManager,2,24,1,3,1,10,1,6,0,4
gs-maven,default,PermissionLevel,0,21,0,0,0,4,0,1,0,1
